Symbol,Name,Sector,Market Cap
GKOS,Glaukos Corp.,Health Care,Small Cap
GNL,Global Net Lease Inc.,Real Estate,Small Cap
GLUU,Glu Mobile Inc.,Communication Services,Small Cap
GMS,GMS Inc.,Industrials,Small Cap
GVA,Granite Construction Inc.,Industrials,Small Cap
GPMT,Granite Point Mortgage Trust Inc.,Financials,Small Cap
GWB,Great Western Bancorp Inc.,Financials,Small Cap
GDOT,Green Dot Corporation,Financials,Small Cap
GPRE,Green Plains Inc.,Energy,Small Cap
GHL,Greenhill & Co. Inc.,Financials,Small Cap
GFF,Griffon Corporation,Industrials,Small Cap
GPI,Group 1 Automotive Inc.,Consumer Discretionary,Small Cap
GES,Guess Inc.,Consumer Discretionary,Small Cap
FUL,H.B. Fuller Company,Materials,Small Cap
HNGR,Hanger Inc.,Health Care,Small Cap
HAFC,Hanmi Financial Corporation,Financials,Small Cap
HLIT,Harmonic Inc.,Information Technology,Small Cap
HSC,Harsco Corp.,Industrials,Small Cap
HVT,Haverty Furniture Companies Inc.,Consumer Discretionary,Small Cap
HA,Hawaiian Holdings Inc.,Industrials,Small Cap
HWKN,Hawkins Inc.,Materials,Small Cap
HAYN,Haynes International Inc.,Materials,Small Cap
HCI,HCI Group Inc.,Financials,Small Cap
HSTM,HealthStream Inc.,Health Care,Small Cap
HTLD,Heartland Express Inc.,Industrials,Small Cap
HSII,Heidrick & Struggles International Inc.,Industrials,Small Cap
HLX,Helix Energy Solutions Group Inc.,Energy,Small Cap
HP,Helmerich & Payne Inc.,Energy,Small Cap
HFWA,Heritage Financial Corporation,Health Care,Small Cap
HT,Hersha Hospitality Trust,Real Estate,Small Cap
HSKA,Heska Corporation,Health Care,Small Cap
HIBB,Hibbett Sports Inc.,Consumer Discretionary,Small Cap
HI,Hillenbrand Inc.,Industrials,Small Cap
HTH,Hilltop Holdings Inc.,Financials,Small Cap
HNI,HNI Corporation,Industrials,Small Cap
HMST,HomeStreet Inc.,Financials,Small Cap
HOPE,Hope Bancorp Inc.,Financials,Small Cap
HMN,Horace Mann Educators Corporation,Financials,Small Cap
HUBG,Hub Group Inc.,Industrials,Small Cap
ICHR,Ichor Holdings Ltd.,Information Technology,Small Cap
IRT,Independence Realty Trust Inc.,Real Estate,Small Cap
INDB,Independent Bank Corp.,Financials,Small Cap
IBTX,Independent Bank Group Inc.,Financials,Small Cap
ILPT,Industrial Logistics Properties Trust,Real Estate,Small Cap
IOSP,Innospec Inc.,Materials,Small Cap
IIPR,Innovative Industrial Properties Inc.,Real Estate,Small Cap
INVA,Innoviva Inc.,Health Care,Small Cap
INGN,Inogen Inc.,Health Care,Small Cap
NSIT,Insight Enterprises Inc.,Industrials,Small Cap
IBP,Installed Building Products Inc.,Consumer Discretionary,Small Cap
IIIN,Insteel Industries Inc.,Industrials,Small Cap
ITGR,Integer Holdings Corporation,Health Care,Small Cap
IPAR,Inter Parfums Inc.,Consumer Staples,Small Cap
IDCC,InterDigital Inc.,Information Technology,Small Cap
TILE,Interface Inc.,Industrials,Small Cap
IVC,Invacare Corporation,Health Care,Small Cap
IVR,Invesco Mortgage Capital Inc.,Real Estate,Small Cap
ISBC,Investors Bancorp Inc.,Financials,Small Cap
IRBT,iRobot Corporation,Consumer Discretionary,Small Cap
STAR,iStar Inc.,Real Estate,Small Cap
ITRI,Itron Inc.,Information Technology,Small Cap
JJSF,J&J Snack Foods Corp.,Consumer Staples,Small Cap
JRVR,James River Group Holdings Ltd.,Financials,Small Cap
JBSS,John B. Sanfilippo & Son Inc.,Consumer Staples,Small Cap
JBT,John Bean Technologies Corporation,Industrials,Small Cap
KALU,Kaiser Aluminum Corporation,Materials,Small Cap
KAMN,Kaman Corporation,Industrials,Small Cap
KELYA,Kelly Services Inc.,Industrials,Small Cap
KRG,Kite Realty Group Trust,Real Estate,Small Cap
KREF,KKR Real Estate Finance Trust Inc.,Financials,Small Cap
KN,Knowles Corporation,Information Technology,Small Cap
KTB,Kontoor Brands,Consumer Discretionary,Small Cap
KOP,Koppers Holdings Inc.,Materials,Small Cap
KFY,Korn/Ferry International,Industrials,Small Cap
KRA,Kraton Corporation,Materials,Small Cap
KLIC,Kulicke and Soffa Industries Inc.,Information Technology,Small Cap
LZB,La-Z-Boy Inc.,Consumer Discretionary,Small Cap
LCI,Lannett Company Inc.,Health Care,Small Cap
LNTH,Lantheus Holdings Inc.,Health Care,Small Cap
LPI,Laredo Petroleum Inc.,Energy,Small Cap
LCII,LCI Industries,Consumer Discretionary,Small Cap
LMAT,LeMaitre Vascular,Health Care,Small Cap
LXP,Lexington Realty Trust,Real Estate,Small Cap
LGIH,LGI Homes,Consumer Discretionary,Small Cap
LNN,Lindsay Corporation,Materials,Small Cap
LQDT,Liquidity Services Inc.,Consumer Discretionary,Small Cap
LTHM,Livent Corp.,Materials,Small Cap
LPSN,LivePerson Inc.,Financials,Small Cap
LL,LL Flooring,Consumer Discretionary,Small Cap
LTC,LTC Properties Inc.,Real Estate,Small Cap
LMNX,Luminex Corporation,Health Care,Small Cap
LDL,Lydall Inc.,Industrials,Small Cap
MDC,M.D.C. Holdings Inc.,Consumer Discretionary,Small Cap
MHO,M/I Homes Inc.,Consumer Discretionary,Small Cap
CLI,Mack-Cali Realty Corporation,Real Estate,Small Cap
M,Macy's Inc.,Consumer Discretionary,Small Cap
MGLN,Magellan Health Inc.,Health Care,Small Cap
MANT,ManTech International Corporation,Industrials,Small Cap
MMI,Marcus & Millichap Inc.,Real Estate,Small Cap
HZO,MarineMax Inc.,Consumer Discretionary,Small Cap
MRTN,Marten Transport Ltd,Industrials,Small Cap
MTDR,Matador Resources,Energy,Small Cap
MTRN,Materion Corp.,Materials,Small Cap
MTRX,Matrix Service Company,Industrials,Small Cap
MATX,Matson Inc.,Industrials,Small Cap
MATW,Matthews International Corporation,Industrials,Small Cap
MXL,MaxLinear Inc.,Information Technology,Small Cap
MED,Medifast Inc.,Consumer Staples,Small Cap
MD,Mednax,Health Care,Small Cap
MERC,Mercer International Inc.,Materials,Small Cap
MDP,Meredith Corporation,Consumer Discretionary,Small Cap
VIVO,Meridian Bioscience Inc.,Health Care,Small Cap
MMSI,Merit Medical Systems Inc.,Health Care,Small Cap
MTH,Meritage Homes Corporation,Consumer Discretionary,Small Cap
MTOR,Meritor Inc.,Industrials,Small Cap
MLAB,Mesa Laboratories Inc,Health Care,Small Cap
CASH,Meta Financial Group Inc.,Financials,Small Cap
MEI,Methode Electronics Inc.,Information Technology,Small Cap
MGPI,MGP Ingredients Inc.,Consumer Staples,Small Cap
MSTR,MicroStrategy Inc.,Information Technology,Small Cap
MODV,Modivcare Inc.,Health Care,Small Cap
MCRI,Monarch Casino & Resort Inc.,Consumer Discretionary,Small Cap
MNRO,Monro Inc.,Consumer Discretionary,Small Cap
MOG.A,Moog Inc.,Industrials,Small Cap
MPAA,Motorcar Parts of America Inc.,Consumer Discretionary,Small Cap
MOV,Movado Group Inc.,Consumer Discretionary,Small Cap
COOP,Mr. Cooper Group Inc.,Financials,Small Cap
MLI,Mueller Industries Inc.,Industrials,Small Cap
MYE,Myers Industries Inc.,Materials,Small Cap
MYRG,MYR Group Inc.,Industrials,Small Cap
MYGN,Myriad Genetics Inc.,Health Care,Small Cap
NBR,Nabors Industries Ltd.,Energy,Small Cap
NBHC,National Bank Holdings Corporation,Financials,Small Cap
FIZZ,National Beverage Corp.,Consumer Staples,Small Cap
NPK,National Presto Industries Inc.,Industrials,Small Cap
NSA,National Storage Affiliates Trust,Real Estate,Small Cap
