Symbol,Name,Sector,Market Cap
MNST,Monster Beverage,Consumer Staples,Large Cap
MCO,Moody's Corp,Financials,Large Cap
MS,Morgan Stanley,Financials,Large Cap
MSI,Motorola Solutions Inc.,Information Technology,Large Cap
MSCI,MSCI Inc,Financials,Large Cap
NDAQ,Nasdaq Inc.,Financials,Large Cap
NTAP,NetApp,Information Technology,Large Cap
NFLX,Netflix Inc.,Communication Services,Large Cap
NWL,Newell Brands,Consumer Discretionary,Large Cap
NEM,Newmont Corporation,Materials,Large Cap
NWSA,News Corp (Class A),Communication Services,Large Cap
NWS,News Corp (Class B),Communication Services,Large Cap
NEE,NextEra Energy,Utilities,Large Cap
NLSN,Nielsen Holdings,Industrials,Large Cap
NKE,Nike Inc.,Consumer Discretionary,Large Cap
NI,NiSource Inc.,Utilities,Large Cap
NSC,Norfolk Southern Corp.,Industrials,Large Cap
NTRS,Northern Trust Corp.,Financials,Large Cap
NOC,Northrop Grumman,Industrials,Large Cap
NLOK,NortonLifeLock,Information Technology,Large Cap
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,Large Cap
NOV,NOV Inc.,Energy,Large Cap
NRG,NRG Energy,Utilities,Large Cap
NUE,Nucor Corp.,Materials,Large Cap
NVDA,Nvidia Corporation,Information Technology,Large Cap
NVR,NVR Inc.,Consumer Discretionary,Large Cap
NXPI,NXP Semiconductors,Information Technology,Large Cap
ORLY,O'Reilly Automotive,Consumer Discretionary,Large Cap
OXY,Occidental Petroleum,Energy,Large Cap
ODFL,Old Dominion Freight Line,Industrials,Large Cap
OMC,Omnicom Group,Communication Services,Large Cap
OKE,Oneok,Energy,Large Cap
ORCL,Oracle Corp.,Information Technology,Large Cap
OTIS,Otis Worldwide,Industrials,Large Cap
PCAR,Paccar,Industrials,Large Cap
PKG,Packaging Corporation of America,Materials,Large Cap
PH,Parker-Hannifin,Industrials,Large Cap
PAYX,Paychex Inc.,Information Technology,Large Cap
PAYC,Paycom,Information Technology,Large Cap
PYPL,PayPal,Information Technology,Large Cap
PENN,Penn National Gaming,Consumer Discretionary,Large Cap
PNR,Pentair plc,Industrials,Large Cap
PBCT,People's United Financial,Financials,Large Cap
PEP,PepsiCo Inc.,Consumer Staples,Large Cap
PKI,PerkinElmer,Health Care,Large Cap
PRGO,Perrigo,Health Care,Large Cap
PFE,Pfizer Inc.,Health Care,Large Cap
PM,Philip Morris International,Consumer Staples,Large Cap
PSX,Phillips 66,Energy,Large Cap
PNW,Pinnacle West Capital,Utilities,Large Cap
PXD,Pioneer Natural Resources,Energy,Large Cap
PNC,PNC Financial Services,Financials,Large Cap
POOL,Pool Corporation,Consumer Discretionary,Large Cap
PPG,PPG Industries,Materials,Large Cap
PPL,PPL Corp.,Utilities,Large Cap
PFG,Principal Financial Group,Financials,Large Cap
PG,Procter & Gamble,Consumer Staples,Large Cap
PGR,Progressive Corp.,Financials,Large Cap
PLD,Prologis,Real Estate,Large Cap
PRU,Prudential Financial,Financials,Large Cap
PTC,PTC Inc,Information Technology,Large Cap
PEG,Public Service Enterprise Group (PSEG),Utilities,Large Cap
PSA,Public Storage,Real Estate,Large Cap
PHM,PulteGroup,Consumer Discretionary,Large Cap
PVH,PVH Corp.,Consumer Discretionary,Large Cap
QRVO,Qorvo,Information Technology,Large Cap
QCOM,Qualcomm,Information Technology,Large Cap
PWR,Quanta Services Inc.,Industrials,Large Cap
DGX,Quest Diagnostics,Health Care,Large Cap
RL,Ralph Lauren Corporation,Consumer Discretionary,Large Cap
RJF,Raymond James Financial,Financials,Large Cap
RTX,Raytheon Technologies,Industrials,Large Cap
O,Realty Income Corporation,Real Estate,Large Cap
REG,Regency Centers Corporation,Real Estate,Large Cap
REGN,Regeneron Pharmaceuticals,Health Care,Large Cap
RF,Regions Financial Corp.,Financials,Large Cap
RSG,Republic Services Inc,Industrials,Large Cap
RMD,ResMed,Health Care,Large Cap
RHI,Robert Half International,Industrials,Large Cap
ROK,Rockwell Automation Inc.,Industrials,Large Cap
ROL,Rollins Inc.,Industrials,Large Cap
ROP,Roper Technologies,Industrials,Large Cap
ROST,Ross Stores,Consumer Discretionary,Large Cap
RCL,Royal Caribbean Group,Consumer Discretionary,Large Cap
SPGI,S&P Global Inc.,Financials,Large Cap
CRM,Salesforce.com,Information Technology,Large Cap
SBAC,SBA Communications,Real Estate,Large Cap
SLB,Schlumberger Ltd.,Energy,Large Cap
STX,Seagate Technology,Information Technology,Large Cap
SEE,Sealed Air,Materials,Large Cap
SRE,Sempra Energy,Utilities,Large Cap
