Symbol,Name,Sector,Market Cap
RS,Reliance Steel & Aluminum Co.,Materials,Mid Cap
RNR,RenaissanceRe Holdings Ltd,Financials,Mid Cap
RGEN,Repligen,Health Care,Mid Cap
REXR,Rexford Industrial Realty Inc.,Real Estate,Mid Cap
RH,RH,Consumer Discretionary,Mid Cap
RLI,RLI Corp,Financials,Mid Cap
RGLD,Royal Gold Inc,Materials,Mid Cap
RPM,RPM International Inc,Materials,Mid Cap
R,Ryder System,Industrials,Mid Cap
SBRA,Sabra Health Care REIT,Real Estate,Mid Cap
SABR,Sabre Corp,Information Technology,Mid Cap
SAIL,SailPoint Technologies Holdings Inc.,Information Technology,Mid Cap
SAFM,Sanderson Farms,Consumer Staples,Mid Cap
SAIC,Science Applications Intl Corp,Industrials,Mid Cap
SGMS,Scientific Games Corporation,Consumer Discretionary,Mid Cap
SMG,Scotts Miracle-Gro Company,Materials,Mid Cap
SEIC,SEI Investments Corp,Financials,Mid Cap
SIGI,Selective Insurance Group,Financials,Mid Cap
SMTC,Semtech,Information Technology,Mid Cap
SXT,Sensient Technologies Corp,Materials,Mid Cap
SCI,Service Corp Intl,Consumer Discretionary,Mid Cap
SVC,Service Properties Trust,Real Estate,Mid Cap
SBNY,Signature Bank,Financials,Mid Cap
SLGN,Silgan Holdings Inc,Materials,Mid Cap
SLAB,Silicon Laboratories Inc,Information Technology,Mid Cap
SSD,Simpson Manufacturing Company,Industrials,Mid Cap
SIX,Six Flags,Consumer Discretionary,Mid Cap
SKX,Skechers USA Inc,Consumer Discretionary,Mid Cap
SLG,SL Green Realty,Real Estate,Mid Cap
SLM,SLM Corp,Financials,Mid Cap
SEDG,SolarEdge,Information Technology,Mid Cap
SON,Sonoco Products Co,Materials,Mid Cap
SWX,Southwest Gas Corp,Utilities,Mid Cap
SR,Spire Inc,Utilities,Mid Cap
SRC,Spirit Realty Capital,Real Estate,Mid Cap
SFM,Sprouts Farmers Market,Consumer Staples,Mid Cap
STAA,STAAR Surgical,Health Care,Mid Cap
STLD,Steel Dynamics Inc,Materials,Mid Cap
SRCL,Stericycle,Industrials,Mid Cap
